相对路径,文件,通道,采样率,时长(秒),故障类别,外圈方位,采样点位,尺寸(inch),载荷,RPM,均值,标准差,RMS,峭度,偏度,峰值,峰值因子
12kHz_DE_data\B\0007\B007_0.mat,B007_0.mat,DE,12000.0,3.0,滚动体,,,0.007,0.0,1796,0.0017327969079386973,0.1380672442969659,0.13807811750194968,-0.0430346185485484,-0.012352727375414074,0.5794689993652463,4.196675112963241
12kHz_DE_data\B\0007\B007_0.mat,B007_0.mat,FE,12000.0,3.0,滚动体,,,0.007,0.0,1796,-0.0002142474400625653,0.10534475400919198,0.1053449718744219,-0.24304103424559953,-0.008757141213079652,0.3785313932481434,3.593255439845554
12kHz_DE_data\B\0007\B007_0.mat,B007_0.mat,BA,12000.0,3.0,滚动体,,,0.007,0.0,1796,-8.300140484772425e-05,0.035473512597247465,0.03547360970101973,0.1268716823092526,0.028158418533761262,0.15994473402601492,4.508837284225324
12kHz_DE_data\B\0007\B007_1.mat,B007_1.mat,DE,12000.0,3.0,滚动体,,,0.007,1.0,1772,-0.0003049742472513151,0.13787117584373257,0.1378715131483836,0.019147893107860803,0.023122015026364077,0.6635408970738204,4.812748347511697
12kHz_DE_data\B\0007\B007_1.mat,B007_1.mat,FE,12000.0,3.0,滚动体,,,0.007,1.0,1772,0.00032814741911330004,0.08250368153469059,0.0825043341134653,-0.08979264299568479,-0.015476152508594314,0.3444506155101796,4.174939646642912
12kHz_DE_data\B\0007\B007_1.mat,B007_1.mat,BA,12000.0,3.0,滚动体,,,0.007,1.0,1772,0.0001195974238014896,0.03468104849439094,0.03468125470933939,-0.04566252003859139,0.03697237221440266,0.13829364577197165,3.9875617803046284
12kHz_DE_data\B\0007\B007_2.mat,B007_2.mat,DE,12000.0,3.0,滚动体,,,0.007,2.0,1748,0.0001760579455912268,0.1489521835348128,0.14895228758293294,-0.17348814663058398,0.02814337508145892,0.6000194379078888,4.028266014872802
12kHz_DE_data\B\0007\B007_2.mat,B007_2.mat,FE,12000.0,3.0,滚动体,,,0.007,2.0,1748,0.0014199140176386273,0.08538503768473615,0.08539684312807645,-0.06638793384950459,-0.022170443581289626,0.35059695547731085,4.105502529543073
12kHz_DE_data\B\0007\B007_2.mat,B007_2.mat,BA,12000.0,3.0,滚动体,,,0.007,2.0,1748,-6.65704946991496e-05,0.03685961489399507,0.03685967500893609,0.11627414519567303,0.035798013942510906,0.14783968494573774,4.010878688157076
12kHz_DE_data\B\0007\B007_3.mat,B007_3.mat,DE,12000.0,3.0,滚动体,,,0.007,3.0,1722,-0.0003201359292852271,0.15451562516362066,0.15451595680290672,-0.1702185441470565,0.01896580903040155,0.6138187468995668,3.972526589486969
12kHz_DE_data\B\0007\B007_3.mat,B007_3.mat,FE,12000.0,3.0,滚动体,,,0.007,3.0,1722,0.0011722056416579457,0.1210171727732344,0.1210228497933064,-0.2844461904454936,-0.11182698938957085,0.4692030439543017,3.876978973438887
12kHz_DE_data\B\0007\B007_3.mat,B007_3.mat,BA,12000.0,3.0,滚动体,,,0.007,3.0,1722,0.0004276638083744252,0.04514283546461052,0.04514486117065696,-0.04803028538999499,0.08210183287365878,0.17953280207688774,3.976815908198641
12kHz_DE_data\B\0014\B014_0.mat,B014_0.mat,DE,12000.0,3.0,滚动体,,,0.014,0.0,1796,0.00031124224747038293,0.1580216830117781,0.15802198952554514,18.436149960083412,0.24141682806632825,2.2564091582188612,14.279083341461792
12kHz_DE_data\B\0014\B014_0.mat,B014_0.mat,FE,12000.0,3.0,滚动体,,,0.014,0.0,1796,6.416027062145139e-05,0.0854988143578322,0.08549883843149787,0.7616925432912129,-0.016219760339393808,0.5473979685534497,6.402402402133543
12kHz_DE_data\B\0014\B014_0.mat,B014_0.mat,BA,12000.0,3.0,滚动体,,,0.014,0.0,1796,0.0004799896926445713,0.04626997282864066,0.04627246239036983,0.64767804742077,0.04991161775117933,0.28511497212587905,6.161655494374919
12kHz_DE_data\B\0014\B014_1.mat,B014_1.mat,DE,12000.0,3.0,滚动体,,,0.014,1.0,1772,-2.87714167819456e-05,0.1484625660414491,0.14846256882933845,6.056780264291422,-0.005424355056048499,1.3083916945538412,8.812939886941274
12kHz_DE_data\B\0014\B014_1.mat,B014_1.mat,FE,12000.0,3.0,滚动体,,,0.014,1.0,1772,0.0003430639905837873,0.06756010736027636,0.06756097837830431,0.1849815411678386,0.0006111694949395854,0.3125121374235576,4.625630725382062
12kHz_DE_data\B\0014\B014_1.mat,B014_1.mat,BA,12000.0,3.0,滚动体,,,0.014,1.0,1772,-0.00033792051087672034,0.04598557586672914,0.04598681743789597,-0.25943508135775417,0.04884039760812151,0.1711109204090046,3.7208689346699315
12kHz_DE_data\B\0014\B014_2.mat,B014_2.mat,DE,12000.0,3.0,滚动体,,,0.014,2.0,1749,0.00024582433592972047,0.15738451886262916,0.15738471084328812,7.488257184729182,0.12543237314388925,1.8345112187049695,11.656222570003246
12kHz_DE_data\B\0014\B014_2.mat,B014_2.mat,FE,12000.0,3.0,滚动体,,,0.014,2.0,1749,0.001864526298297468,0.0767075065535288,0.07673016369053767,0.4123666530710679,-0.014544016613729307,0.46388327627746007,6.045644293792455
12kHz_DE_data\B\0014\B014_2.mat,B014_2.mat,BA,12000.0,3.0,滚动体,,,0.014,2.0,1749,0.00017908299398982025,0.048505826495310544,0.04850615708043574,0.5284431406130916,0.12307024447246002,0.3070295312333568,6.3297022422168485
12kHz_DE_data\B\0014\B014_3.mat,B014_3.mat,DE,12000.0,3.0,滚动体,,,0.014,3.0,1724,-8.544928354595916e-05,0.14369090754961306,0.14369093295685537,16.045631910353027,0.2496348783822355,1.9846451308495212,13.811902324034813
12kHz_DE_data\B\0014\B014_3.mat,B014_3.mat,FE,12000.0,3.0,滚动体,,,0.014,3.0,1724,0.0004888226381222266,0.12804841260910857,0.12804934564176443,-0.1999588587690475,-0.1089459187408495,0.6772196088265242,5.2887393171155965
12kHz_DE_data\B\0014\B014_3.mat,B014_3.mat,BA,12000.0,3.0,滚动体,,,0.014,3.0,1724,0.00015126402927397698,0.051591924126592054,0.05159214587406287,0.4112307162077493,0.327499779561602,0.3235681605376815,6.271655405214503
